candidate_id,rank,score,reasoning
CAND_0002025,1,0.7119,Experienced Senior AI Engineer (5.9 yrs); strong JD skill alignment (6/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0048558,2,0.6742,Experienced Data Scientist (6.7 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0046525,3,0.6702,Senior Machine Learning Engineer with 6.1 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0077337,4,0.6609,Staff Machine Learning Engineer with 7.0 years of experience; strong JD skill alignment (6/8 requirement buckets); 4 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0063622,5,0.6440,Computer Vision Engineer with 5.2 years of experience; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0055905,6,0.6397,"Senior Machine Learning Engineer, 8.1 years in the field; strong JD skill alignment (6/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0046132,7,0.6303,"AI Research Engineer, 4.3 years in the field; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0018499,8,0.6258,Senior Machine Learning Engineer bringing 7.2 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0064326,9,0.6233,7.6-year Search Engineer; strong JD skill alignment (5/8 requirement buckets); 4 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0072688,10,0.6205,Data Scientist with 6.9 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0064888,11,0.6175,ML Engineer with 5.8 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0030031,12,0.6163,AI Engineer with 5.7 years of experience; strong JD skill alignment (7/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0033445,13,0.6137,Experienced ML Engineer (6.8 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0011687,14,0.6052,"Senior NLP Engineer, 7.8 years in the field; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0000031,15,0.6031,"Recommendation Systems Engineer, 6.0 years in the field; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0008295,16,0.6031,AI Research Engineer bringing 6.5 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0033179,17,0.5988,"AI Research Engineer, 6.9 years in the field; strong JD skill alignment (6/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0006567,18,0.5976,"Senior AI Engineer, 7.9 years in the field; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0067866,19,0.5952,"Senior Software Engineer (ML) with 6.4 years of experience; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; based in Noida, Uttar Pradesh."
CAND_0068932,20,0.5941,ML Engineer bringing 5.2 years of experience; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0079387,21,0.5868,AI Engineer bringing 6.9 years of experience; strong JD skill alignment (7/8 requirement buckets); 4 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0064256,22,0.5853,Junior ML Engineer with 6.4 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0043860,23,0.5817,"Junior ML Engineer, 6.1 years in the field; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0066690,24,0.5808,Experienced ML Engineer (4.8 yrs); strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0004402,25,0.5752,AI Research Engineer with 6.0 years of experience; strong JD skill alignment (6/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0053605,26,0.5730,"Senior Software Engineer (ML), 6.9 years in the field; 2 AI/ML-titled roles in career history; predominantly product-company background; based in Noida, Uttar Pradesh."
CAND_0080534,27,0.5671,"ML Engineer, 3.8 years in the field; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0042506,28,0.5657,"Search Engineer, 4.2 years in the field; strong JD skill alignment (7/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0016659,29,0.5646,Experienced ML Engineer (4.4 yrs); strong JD skill alignment (7/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0072660,30,0.5600,Machine Learning Engineer with 7.1 years of experience; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0040887,31,0.5588,"Machine Learning Engineer, 4.7 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.7 yrs)."
CAND_0073314,32,0.5562,Experienced Senior Software Engineer (ML) (5.2 yrs); partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0031842,33,0.5560,Experienced AI Specialist (3.5 yrs); partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.5 yrs).
CAND_0070525,34,0.5556,"Senior Software Engineer (ML), 5.4 years in the field; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0068811,35,0.5553,"Applied ML Engineer, 8.0 years in the field; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0061257,36,0.5541,Staff Machine Learning Engineer with 8.0 years of experience; strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background.
CAND_0026942,37,0.5504,Junior ML Engineer with 6.0 years of experience; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0036184,38,0.5494,"Recommendation Systems Engineer, 6.0 years in the field; strong JD skill alignment (5/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background."
CAND_0043637,39,0.5494,5.5-year Junior ML Engineer; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0065786,40,0.5476,Experienced AI Specialist (4.9 yrs); strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.9 yrs).
CAND_0076163,41,0.5450,6.9-year NLP Engineer; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0017093,42,0.5431,ML Engineer bringing 5.9 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0012840,43,0.5419,3.7-year Junior ML Engineer; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.7 yrs).
CAND_0081846,44,0.5403,Lead AI Engineer bringing 6.7 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0054100,45,0.5382,"Junior ML Engineer, 6.0 years in the field; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0065195,46,0.5355,Search Engineer with 5.1 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0052195,47,0.5334,"Computer Vision Engineer, 6.3 years in the field; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0049538,48,0.5333,Experienced Applied ML Engineer (5.8 yrs); strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0054318,49,0.5309,AI Research Engineer with 3.5 years of experience; strong JD skill alignment (6/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.5 yrs).
CAND_0050454,50,0.5307,Experienced AI Engineer (6.8 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0049540,51,0.5279,ML Engineer bringing 6.8 years of experience; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0046064,52,0.5275,"Senior NLP Engineer, 8.9 years in the field; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0005509,53,0.5251,"Data Scientist, 6.0 years in the field; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0099347,54,0.5220,3.5-year Computer Vision Engineer; strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.5 yrs).
CAND_0027691,55,0.5210,NLP Engineer with 6.5 years of experience; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0082086,56,0.5170,6.0-year Senior Software Engineer (ML); strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0099806,57,0.5160,4.6-year AI Engineer; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.6 yrs).
CAND_0021410,58,0.5154,"Junior ML Engineer, 4.0 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.0 yrs)."
CAND_0062247,59,0.5153,AI Engineer bringing 7.3 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0073982,60,0.5124,7.0-year Data Scientist; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0098454,61,0.5115,AI Specialist bringing 6.6 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0017178,62,0.5109,4.2-year ML Engineer; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.2 yrs).
CAND_0071974,63,0.5043,7.8-year Senior AI Engineer; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0019845,64,0.5037,AI Specialist with 3.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.4 yrs).
CAND_0093912,65,0.5028,Senior Data Scientist with 5.3 years of experience; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0063736,66,0.5016,Experienced Data Scientist (3.7 yrs); strong JD skill alignment (7/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.7 yrs).
CAND_0045887,67,0.5000,Experienced Data Scientist (3.0 yrs); strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.0 yrs).
CAND_0053591,68,0.4975,AI Engineer with 5.3 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0002120,69,0.4963,ML Engineer with 6.5 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0032887,70,0.4958,6.1-year ML Engineer; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0011327,71,0.4924,Experienced AI Research Engineer (6.3 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0078002,72,0.4921,Machine Learning Engineer bringing 6.3 years of experience; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0015097,73,0.4914,Senior Software Engineer (ML) with 6.0 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0025640,74,0.4907,Experienced AI Research Engineer (5.6 yrs); strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; actively looking.
CAND_0061655,75,0.4899,"Machine Learning Engineer, 4.6 years in the field; strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (4.6 yrs)."
CAND_0007596,76,0.4883,Junior ML Engineer bringing 4.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.4 yrs).
CAND_0069638,77,0.4860,Experienced Computer Vision Engineer (6.2 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0052682,78,0.4857,NLP Engineer with 6.6 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: inactive for 93 days.
CAND_0093763,79,0.4853,Experienced Senior Software Engineer (ML) (5.0 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0000969,80,0.4839,AI Specialist bringing 5.5 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0083879,81,0.4839,Machine Learning Engineer bringing 7.1 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0044213,82,0.4833,Experienced AI Specialist (3.7 yrs); strong JD skill alignment (5/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.7 yrs).
CAND_0065430,83,0.4831,ML Engineer bringing 4.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.4 yrs).
CAND_0036437,84,0.4825,Experienced Search Engineer (4.8 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.8 yrs).
CAND_0018888,85,0.4811,"AI Research Engineer, 6.5 years in the field; partial JD skill alignment (2/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0024878,86,0.4805,AI Specialist with 5.7 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; actively looking.
CAND_0024549,87,0.4787,"5.2-year AI Specialist; 2 AI/ML-titled roles in career history; based in Mumbai, Maharashtra; actively looking."
CAND_0050553,88,0.4770,ML Engineer bringing 3.6 years of experience; partial JD skill alignment (2/8 buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.6 yrs).
CAND_0077498,89,0.4766,"Senior Software Engineer (ML), 5.4 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0087778,90,0.4752,"Data Scientist, 5.8 years in the field; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; actively looking."
CAND_0015967,91,0.4746,Experienced Senior Software Engineer (ML) (5.4 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0084090,92,0.4746,Junior ML Engineer with 3.9 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.9 yrs).
CAND_0083852,93,0.4745,6.0-year Data Scientist; strong JD skill alignment (7/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0051936,94,0.4740,AI Research Engineer with 3.9 years of experience; partial JD skill alignment (3/8 buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.9 yrs).
CAND_0034164,95,0.4732,Data Scientist with 3.6 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.6 yrs).
CAND_0005538,96,0.4729,Senior AI Engineer with 5.9 years of experience; strong JD skill alignment (5/8 requirement buckets); 4 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0024990,97,0.4725,"Junior ML Engineer, 5.2 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0052328,98,0.4693,"Recommendation Systems Engineer, 6.5 years in the field; strong JD skill alignment (7/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background."
CAND_0019159,99,0.4682,ML Engineer with 6.1 years of experience; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0026716,100,0.4668,Computer Vision Engineer bringing 5.6 years of experience; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
